CSI Index: 1
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.206163,0.90675
5,30.232433,0.97362
6,28.653097,1.060308
7,29.068884,1.107149
8,30.083218,1.196463
9,30.675724,1.238737
10,30.364452,1.269876
11,31.048349,1.310194
12,30.805843,1.341564
13,30.594116,1.373401
14,30.413813,1.405648
15,30.265491,1.438245
16,29.274563,1.43373
17,29.15476,1.467715
18,28.160255,1.464061
19,28.160255,1.464061
20,27.166155,1.460139
21,28.160255,1.464061
22,28.160255,1.464061
23,28.160255,1.464061
24,28.284271,1.428899
25,28.284271,1.428899
26,28.442924,1.394087
27,29.274563,1.43373
28,30.413813,1.405648
29,29.427877,1.400061
30,30.413813,1.405648
31,30.413813,1.405648
32,0.0,0.0
33,30.265491,1.438245
34,30.149628,1.471128
35,29.15476,1.467715
36,28.160255,1.464061
37,27.166155,1.460139
38,26.172504,1.45592
39,25.179358,1.451367
40,25.179358,1.451367
41,25.317978,1.412141
42,24.186773,1.446441
43,24.186773,1.446441
44,23.345236,1.398605
45,22.36068,1.390943
46,22.203604,1.435269
47,23.194826,1.441094
48,22.203604,1.435269
49,22.203604,1.435269
50,21.213203,1.428899
51,22.090721,1.480136
52,22.090721,1.480136
53,22.090721,1.480136
54,22.022715,1.525373
55,22.0,1.570796
56,21.023796,1.618379
57,21.095022,1.665748
58,20.099751,1.670465
59,20.396078,1.768192
60,20.615528,1.815775
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 2
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.460499,1.249046
5,29.12044,1.292497
6,28.86174,1.325818
7,29.832869,1.333948
8,29.614185,1.366778
9,30.594116,1.373401
10,30.594116,1.373401
11,30.594116,1.373401
12,30.413813,1.405648
13,29.614185,1.366778
14,29.614185,1.366778
15,29.614185,1.366778
16,28.635643,1.359703
17,28.86174,1.325818
18,28.160255,1.282741
19,27.513634,1.237552
20,27.856777,1.203622
21,28.231188,1.170556
22,28.178005,1.091277
23,28.178005,1.091277
24,27.784887,1.042722
25,28.301943,1.012197
26,28.600698,0.934288
27,29.206163,0.90675
28,29.832869,0.88035
29,29.732138,0.832981
30,31.112698,0.785398
31,30.413813,0.762147
32,0.0,0.0
33,30.479502,0.715744
34,29.068884,0.712358
35,27.802877,0.657889
36,28.017851,0.607802
37,27.459061,0.577902
38,25.553865,0.533708
39,25.059929,0.499347
40,25.079872,0.410127
41,24.166092,0.426627
42,23.769728,0.388319
43,23.409399,0.348771
44,23.086792,0.308053
45,22.561028,0.223477
46,22.36068,0.179853
47,22.36068,0.179853
48,22.203604,0.135528
49,22.203604,0.135528
50,21.095022,0.094952
51,22.022715,0.045423
52,22.022715,0.045423
53,22.022715,0.045423
54,22.022715,0.045423
55,21.023796,0.047583
56,21.023796,0.047583
57,20.024984,0.049958
58,20.024984,0.049958
59,20.024984,0.049958
60,20.099751,0.099669
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 3
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.017851,-3.105894
5,28.160255,-3.034857
6,28.284271,-2.999696
7,28.635643,-2.930499
8,29.832869,-2.904744
9,29.410883,-2.830594
10,29.410883,-2.830594
11,29.15476,-2.754717
12,29.546574,-2.723368
13,29.546574,-2.723368
14,29.068884,-2.677945
15,28.635643,-2.709185
16,29.068884,-2.677945
17,27.730848,-2.694073
18,27.730848,-2.694073
19,26.400757,-2.71183
20,27.313,-2.727086
21,27.313,-2.727086
22,27.313,-2.727086
23,27.856777,-2.774419
24,27.856777,-2.774419
25,26.57066,-2.796037
26,28.460499,-2.819842
27,28.460499,-2.819842
28,29.410883,-2.830594
29,29.12044,-2.863293
30,30.083218,-2.872425
31,29.410883,-2.830594
32,0.0,0.0
33,29.410883,-2.830594
34,29.12044,-2.863293
35,28.160255,-2.853537
36,27.892651,-2.887918
37,25.96151,-2.868584
38,25.709921,-2.906048
39,25.709921,-2.906048
40,24.738634,-2.896614
41,24.515301,-2.936197
42,23.537205,-2.927532
43,23.537205,-2.927532
44,22.36068,-2.961739
45,23.194826,-3.01189
46,22.203604,-3.006065
47,22.203604,-3.006065
48,22.203604,-3.006065
49,22.203604,-3.006065
50,22.090721,-3.050933
51,21.213203,-2.999696
52,22.36068,-2.961739
53,22.36068,-2.961739
54,21.377558,-2.953371
55,21.587032,-2.90785
56,20.615528,-2.896614
57,20.880613,-2.850136
58,20.248457,-2.788602
59,20.615528,-2.74307
60,19.697716,-2.723368
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 4
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,27.513634,-1.904041
5,28.160255,-1.858852
6,27.892651,-1.82447
7,27.658634,-1.789465
8,28.442924,-1.747505
9,29.274563,-1.707862
10,29.274563,-1.707862
11,29.068884,-1.639653
12,29.15476,-1.673878
13,29.068884,-1.639653
14,28.071337,-1.642104
15,28.017851,-1.606495
16,28.017851,-1.606495
17,28.071337,-1.642104
18,27.073973,-1.644735
19,26.172504,-1.685673
20,26.305893,-1.723446
21,26.476404,-1.760785
22,26.476404,-1.760785
23,27.658634,-1.789465
24,26.925823,-1.833791
25,27.202942,-1.869295
26,27.513634,-1.904041
27,28.460499,-1.892547
28,27.856777,-1.93797
29,27.856777,-1.93797
30,28.79236,-1.925502
31,29.15476,-1.957672
32,0.0,0.0
33,28.178005,-2.050316
34,29.068884,-2.034444
35,28.178005,-2.050316
36,27.294687,-2.067219
37,25.942244,-2.051684
38,24.186773,-2.089942
39,24.698177,-2.125104
40,23.853722,-2.147171
41,23.600847,-2.205823
42,23.021729,-2.170846
43,22.803509,-2.231839
44,22.803509,-2.231839
45,22.022715,-2.259721
46,21.260292,-2.289626
47,21.931713,-2.323948
48,21.213203,-2.356194
49,21.213203,-2.356194
50,21.213203,-2.356194
51,20.518284,-2.390664
52,20.518284,-2.390664
53,21.213203,-2.356194
54,21.213203,-2.356194
55,20.518284,-2.321725
56,20.615528,-2.253113
57,19.849434,-2.284887
58,19.849434,-2.284887
59,20.0,-2.214298
60,20.248457,-2.145101
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 5
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.160255,1.858852
5,29.732138,1.91382
6,29.546574,1.989021
7,30.016663,2.094075
8,29.681644,2.14011
9,30.805843,2.194819
10,30.610456,2.240435
11,31.144823,2.310771
12,31.112698,2.356194
13,29.732138,2.403778
14,30.479502,2.425849
15,29.832869,2.451146
16,30.0,2.498091
17,29.410883,2.525296
18,28.600698,2.505085
19,28.017851,2.533791
20,28.017851,2.533791
21,28.84441,2.55359
22,28.600698,2.505085
23,28.84441,2.55359
24,28.84441,2.55359
25,28.84441,2.55359
26,28.84441,2.55359
27,30.232433,2.544416
28,29.681644,2.572279
29,31.064449,2.562518
30,30.528675,2.589938
31,30.88689,2.634494
32,0.0,0.0
33,30.88689,2.634494
34,29.529646,2.647651
35,29.068884,2.677945
36,28.635643,2.709185
37,27.730848,2.694073
38,26.832815,2.677945
39,26.400757,2.71183
40,25.495098,2.695487
41,25.079872,2.731465
42,25.079872,2.731465
43,23.769728,2.753274
44,22.847319,2.736701
45,23.769728,2.753274
46,22.847319,2.736701
47,22.847319,2.736701
48,22.847319,2.736701
49,22.472204,2.777614
50,22.135944,2.819842
51,23.086792,2.83354
52,22.803509,2.875341
53,22.803509,2.875341
54,22.561028,2.918116
55,22.36068,2.961739
56,21.213203,2.999696
57,21.023796,3.09401
58,21.023796,-3.09401
59,21.023796,-3.09401
60,21.213203,-2.999696
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 6
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.832869,2.261243
5,29.732138,2.308611
6,29.698484,2.356194
7,30.479502,2.425849
8,30.479502,2.425849
9,32.015621,2.466852
10,31.400637,2.491722
11,30.805843,2.51757
12,31.622776,2.536048
13,31.064449,2.562518
14,30.232433,2.544416
15,30.232433,2.544416
16,29.410883,2.525296
17,29.410883,2.525296
18,28.600698,2.505085
19,29.206163,2.477546
20,28.425341,2.455863
